product_id,product_name,department,category,subcategory,product_type,description,features,color,material,size_range,price,rating,reviews_count,tags,brand,stock_status,keywords
SCHE66FDVYFCAC8K,Avita 25 One Way Electrical Switch,Home Improvement,Electricals,Switches & Accessories,Switches & Dimmers,Buy Avita 25 One Way Electrical Switch for Rs.319 online. Avita 25 One Way Electrical Switch at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,,,,,319.0,0.0,0,"improvement, switches, electricals, home, accessories, dimmers",Avita,In Stock,"avita 25 one way electrical switch, improvement, switches, electricals, home, accessories, dimmers"
NKCEA5FHZUYCYZZJ,Galz4ever Fine Long Design Beaded Alloy Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,Galz4ever Fine Long Design Beaded Alloy Necklace - Buy Galz4ever Fine Long Design Beaded Alloy Necklace only for Rs. 399 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,399.0,0.0,0,"jewellery, chains, necklaces",Galz4ever,In Stock,"galz4ever fine long design beaded alloy necklace, jewellery, chains, necklaces"
CAGE6FYK6VKUMRTT,Yardley Secret Crush Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Yardley Secret Crush Combo Set online only for Rs. 277 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,277.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"yardley secret crush combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGEC89TT7G27CSF,Pavo Papaya Face Wash & Massage Gel Combo Kit Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Pavo Papaya Face Wash & Massage Gel Combo Kit Combo Set online only for Rs. 200 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,200.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"pavo papaya face wash & massage gel combo kit combo set, personal, deodorants, care, fragrances, combos, beauty, and"
NKCECG6ZUYZUVFZG,Image Fashion Metal Choker,Jewellery,Necklaces & Chains,Necklaces,Necklaces,Image Fashion Metal Choker Price: Rs. 450 Pastel Color Necklace Pastel Color Necklace,,,,,450.0,0.0,0,"jewellery, chains, necklaces",Image Fashion,In Stock,"image fashion metal choker, jewellery, chains, necklaces"
PBXEAHTCHTG62WSA,www.thepaper.asia Floral flowers Art canvas Pencil Box,Toys & School Supplies,School Supplies,Geometry & Pencil Boxes,www.thepaper.asia Geometry & Pencil Boxes,Flipkart.com: Buy www.thepaper.asia Floral flowers Art canvas Pencil Box only for Rs. 275 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,275.0,0.0,0,"geometry, pencil, boxes, toys, school, www.thepaper.asia, supplies",Unknown,In Stock,"www.thepaper.asia floral flowers art canvas pencil box, geometry, pencil, boxes, toys, school, www.thepaper.asia, supplies"
CAGE8SCPNS5RCE4V,Nike Extreme Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Nike Extreme Combo Set online only for Rs. 394 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,400.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"nike extreme combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGE6FYKT4NSENUS,Yardley Sandalwood and Lace Satin Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Yardley Sandalwood and Lace Satin Combo Set online only for Rs. 328 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,328.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"yardley sandalwood and lace satin combo set, personal, deodorants, care, fragrances, combos, beauty, and"
RTRD6FYYUQZJBY6F,Netgear MBRN3000 3G Mobile Broadband Wireless-N Router,Computers,Network Components,Routers,Netgear Routers,Buy Netgear MBRN3000 3G Mobile Broadband Wireless-N Router only for Rs. 5547 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,4399.0,4.1,0,"network, netgear, computers, components, routers",Netgear,In Stock,"netgear mbrn3000 3g mobile broadband wireless-n router, network, netgear, computers, components, routers"
RTRDA4U7UE3Z7UMB,Asus DSL-N55U Wireless-N600 Gigabit Router,Computers,Network Components,Routers,Asus Routers,Buy Asus DSL-N55U Wireless-N600 Gigabit Router only for Rs. 11500 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,8200.0,3.9,0,"network, asus, computers, components, routers",Asus,In Stock,"asus dsl-n55u wireless-n600 gigabit router, network, asus, computers, components, routers"
